job_title,address,employment_type,seniority,min_experience,job_categories,salary_type,salary_range,job_description,job_skills
Data Scientist,30A KALLANG PLACE 339213,Full Time,Executive,3 years exp,Information Technology,Monthly,"$4,000to$7,000","Duties and Responsibilities

Familiarize with Ensign’s business domain and objectives to implement cyber security analytics solutions that meet internal business requirements and the needs of industry partners and customers
Develop, evaluate, tune, deploy, maintain and document production-grade data analytics models that provide cyber security insights.
Work on large volume of raw, structured and unstructured data from internet traffic, logs and other forms of data sources using Apache Spark, MPP DB, NoSQL, Hadoop, Scala, Python, R, Tableau etc on daily basis.
Evaluate potential solutions relating to data analytics and make recommendations to solve business problems
Liaise and work with in-house developers, data engineers, big data architects, visualization engineers and project managers to better understand the requirements of developing, deploying and productizing models
Ensure the analytics models are running in optimal condition and perform trouble-shooting when the models are having issue
Advocate and ensure security best practices

Requirements

Degree in Statistics, Data Science, Mathematics, Computer Science, Engineering or any other related quantitative field
Minimum 3 years of experience working in a data science position, preferably in the cyber security industry and has worked with security logs/network data
Experience and expertise in probability and statistical modelling, inclusive of machine learning, experimental design, evaluation and optimization
Proficiency in Scala, Python, R, Java, Spark and SQL, among others
Ability to perform rapid prototyping and proof of concept using visualization and dashboarding tools such as Tableau
Experience with machine learning and deep learning frameworks and tools such as TensorFlow, Keras, Caffe, MxNet, Spark, Hadoop, R, pandas
Solid technical background with hands-on experience in conceptualizing, designing, implementing and deploying statistical or machine learning models in the big data environment (e.g. Hadoop)
Excellent client-facing and internal communication skills
Solid organizational skills including attention to detail and multi-tasking
Team-player, result-oriented, proactive, self-driven, requiring minimal supervision
Creative problem-solving skills, highly organized, with ability to handle multiple simultaneous tasks, prioritize and meet tight deadlines
","['Machine Learning', 'Pandas', 'Scala', 'Statistical Modeling', 'Cyber Security', 'Hadoop', 'SQL', 'Python', 'Data Science', 'Team Player']"
 , , , , , , , , , 
 , , , , , , , , , 
 , , , , , , , , , 
Facility Engineer (Data Center),"AIA TOWER, 1 ROBINSON ROAD 048542","Permanent, Full Time",Senior Executive,5 years exp,Engineering,Monthly,"$4,000to$8,000","As a Facility Engineer in a Data Center Engineering environment, you will be responsible for the on-site management of the colocation (Colo) service providers in state-of-the-art critical infrastructure facilities. Based in Singapore you will have the opportunity to assist in the design, implementation, commissioning and build out of new facilities. Work with key business leaders to manage & implement projects to increase current facility capacity, efficiency, sustainability & reliability. As a subject matter expert in the critical services industry, you will review the Colo’s management of both routine maintenance and emergency services on a variety of critical systems.
At Amazon, our mission is to be the most customer-centric company in the world, your focus will be on the delivery of great customer service and satisfaction.

As part of the technical team, you will get to work with some of the most talented and brightest engineers in the industry. Not only would you be working with the most experienced, you would be developing your skills and furthering your career within one of the most innovative and progressive technology companies in the world.
If you’re up for the challenge, we’d love to hear from you!

Key job responsibilities
• Liaise with Colo vendors for all Mechanical & Electrical maintenance servicing to Data Halls
• Responds to emergency incidents and work closely with Colo vendors to resolve it
• handles day to day operation related activities for the data halls (creation of access, escorting, power monitoring, thermal hot spot issues, power up or down of racks, audits)","['Sustainability', 'Hardware', 'Data Center', 'Electrical', 'Emergency Services', 'Reliability', 'Cabling', 'Customer Service', 'Manufacturing', 'Linux', 'Commissioning', 'Mechanical Engineering', 'Facilities Management']"
Data Scientist,"100 PASIR PANJANG, 100 PASIR PANJANG ROAD 118518",Full Time,Executive,2 years exp,"Engineering, Healthcare / Pharmaceutical, Information Technology",Monthly,"$5,000to$10,000","Overview of the role
The role provides a tremendous opportunity for a candidate to work in a fast-growing startup with a million users (and growing) by deriving value from the massive volume of data we capture.
This is your chance to deploy Algorithms & Pipelines at SCALE. Over the coming years, those will be progressively supporting some, if not all, of the following: user classification from multimodal data, simple NLP supporting data capture & classification, providing AI Diagnosis, Prediction of treatment opportunities, inference of Health events from time series, Context inference from Geo-data & weather, etc. (i.e., prior knowledge of medical etc. is not expected).
As the Data Engineer+Scientist, you are responsible for designing and implementing data-driven services and solutions (Ie: Pipelines & Algorithms). You must be comfortable deploying your solutions (algorithms) to the cloud, ready to scale, and have a proven track record of designing pipelines for batch as well as streaming needs.
Roles & Responsibilities

Develop data pipelines that ingest data from a variety data sources to enable better data-informed decision-making within the business
Design and implement data science solutions / algorithms that provide smart features to our users
Contribute to an ongoing effort to improve data reliability, efficiency and quality

Skills/Experience should include some of those (by order of importance):

Experience in Python, REST APIs, and SQL
Familiarity with data warehousing concepts and data-modeling
Experience in using AWS cloud infrastructure and solutions such as Kinesis, Glue, S3, Redshift, ECS
Experience with ELT processing and workflow orchestration using Airflow and dbt
Experience with development systems such as Bitbucket & Docker

We want someone who is:

Able to deliver your work in a planned and timely manner
Able to work across cross-functional teams to gather requirements and come up with solutions

Qualities:

Rigor: 5/10 *
Self-Learning: 7/10
Initiative/Enthusiasm: 6/10
Team-Work: 6/10 **

*You will have the opportunity to learn good practices and methods to nurture Rigor. Rigor is critical to scale models & data collection.
** Team-Work is also critical for scalability, but keep in mind that here this is teamwork across functional teams, not within a silo. It will be about passing the ball to the person working on the UX showing the output from your algorithm, receiving the ball from the product manager, and even about understanding how the algorithm is impacted by the feelings of the user doing input.
Other info

Work Location: Singapore
COVID-19 Vaccination Requirement: Fully Vaccinated

If you are passionate and motivated to join our efforts in improving patient’s quality of life, please send your CV and brief description of your successful growth campaigns (if available) to careers@healint.com","['MASSIVE', 'Weather', 'Scalability', 'Pipelines', 'Treatment', 'SQL', 'Python', 'Docker', 'Data Science', 'Orchestration', 'UX', 'S3', 'Data Warehousing']"
Affiliate Data Analyst,12 Marina Boulevard  018982,Contract,Executive,3 years exp,Information Technology,Monthly,"$8,000to$15,000","Job Description:

· Identify data sources and data requirements of the team, analyzing datasets and derive insights
· Responsible for developing, maintaining and   extracting information and data insights from internal and external data sets
· Perform an in-depth analysis of business performance, generate regular/on-demand analytical report
· Design market/business detailed reports, performance measurement tools and other data products.
· Explore business issues/opportunities, uncover insights and/or identify targeted areas for business and user growth.
· Communicate with various teams to roll out products/services, develop data applications
· Build and maintain data pipelines used for a diverse range of data products
· Implement best practices for managing versions and source control for data product development

Job Requirements:
· Min. Bachelor’s Degree in Computer Science/Data Analytics, Engineering, Mathematics, and other related courses
· Solid skills in data analytics/ data science/ business intelligence
· Highly motivated, structured and methodical with a high degree of initiative.
· Results and detail-oriented, with strong intuitions on how to solve problems creatively and quickly
· Must be a team player, eager to learn, empathetic and open-minded
· Advanced understanding and/or experience working in a Cryptocurrency/Blockchain/Fintech/Finance Trading domain preferred
· Good hands on experience of data visualization tools, such as Tableau/Power BI/Amplitiude
· Must be comfortable to write SQL and Python scripts

EA Personnel: Celine Tan Si Ling
CEI Reg No: R1104662
EA Licence No: 99C4599","['Tableau', 'Business Intelligence', 'Data Analysis', 'Computer Science', 'PowerBI', 'SQL', 'Python', 'business performance analysis', 'Data Science', 'Product Development', 'Performance Management', 'Data Visualization']"
Data Engineer_Advanced,"FORTUNE CENTRE, 190 MIDDLE ROAD 188979",Contract,Senior Executive,5 years exp,Information Technology,Monthly,"$7,000to$8,000","Role:Data Engineer_Advanced

JD:
• Hands-on experience in Enterprise-grade Production Database administration and Support
• Expertise in Relational and No SQL database is required.
• Hands-on experience in databases like Sybase, MongoDB and MariaDB is preferred
• Database schema creation, management, and ensuring data integrity.
• Performance management tuning, Implementing robust backup and recovery
• Run SQL code reviews and walk-through application teams. Have necessary procedural skills
• Experience in capacity planning and general Linux/Unix system/networking skillsets is required.
• Good know-how about storage management, replication setup of database.
• Hands-on experience in automation and scripting.
• Familiar with batch jobs, shell scripts, enabling monitoring and dashboarding for database stacks.
• Experience in DevOps toolsets and Container platform deployments would be a plus
• Self-driven, strong, committed, and reliable team player. Ability to contribute to discussions on design and strategy. Good written and oral communication skills.
• Minimum of 7 years technology experience (preferably in the financial industry).

Job responsibilities

• Perform administration and support of Enterprise grade critical production database.
• Play a key role in architecting database architecture and relevant infra deployment.
• Plan, design and set standards for database operations.
• Hand-on implementation and troubleshooting in multiple database technologies like Sybase, MongoDB and MariaDB
• Manage schema, access controls, and perform regular optimization checks.
• Implement database level replication, configure database backup, and assist OS platform team in configuring VCS high availability.
• Implement monitoring and alerting using scripts and automation. Deploy the code via CI/CD pipeline.
• Perform Database upgrades, patching, archiving to S3 object storage.
• Perform database tuning, SQL code reviews, assist application in optimizing LRQ and relevant troubleshooting.
• Configure batch jobs using schedulers like TWS.
• Build Grafana/Kibana dashboards, ingest the relevant DB logs in logging platforms, build monitoring metrics using custom SQL query for continuous monitoring.
• Build docker image for database, author custom scripts to deploy DB as a container.
• Perform continuous engagement with application support team and assist in preparing audit reports.
• Prepare management reports, presentations and run workshops, sessions for user community","['MongoDB', 'Oral Communication Skills', 'Archiving', 'High Availability', 'Scripting', 'MariaDB', 'Tuning', 'Replication', 'Logging', 'SQL', 'Database Administration', 'VCS', 'Docker', 'S3', 'Databases']"
Data Entry Clerk (Manufacturing),"NORTH VIEW BIZHUB, 6 YISHUN INDUSTRIAL STREET 1 768090",Full Time,Non-executive,2 years exp,Admin / Secretarial,Monthly,"$1,800to$2,000","- Filling
- Data Entry
- Clearance of Invoices from Contractors / Suppliers
- Office administration, like ordering of stationery etc.
- Issue of work order for Contractors / Suppliers
- Ability to input data into spreadsheets
- Requires proficiency in Microsoft Excel and Word software.
- Provides administrative support and materials to various departments and functions, which may include  production, sales, quality, purchasing, customer service and finance.
","['Microsoft Excel', '5S', 'Purchasing', 'Data Entry', 'Protocol', 'Office Administration', 'SPC', 'Filtration', 'Spreadsheets', 'Administrative Support', 'Presentation Skills', 'Customer Service', 'Data Analytics', 'Manufacturing', 'Mechanical Engineering']"
 , , , , , , , , , 
MT - Data Center Operator,"20 COLLYER QUAY, 20 COLLYER QUAY 049319",Full Time,Professional,1 year exp,Information Technology,Monthly,"$3,500to$4,500","Data Center Operator

ITCS Group is an IT Managed Services, Outsourcing and Talent-Sourcing company. We provide customised IT Consulting Solutions, Project Management, IT resourcing and on/off-shore Application Development Services across the Asia Pacific region. With offices strategically located in Hong Kong, Tokyo, Singapore, Sydney, and Mumbai. ITCS Group is the preferred technology partner for leading MNCs, including Global Investment Banks, Fortune 500 companies, across Asia Pacific. 
 
We are currently looking for a Data Center Operator to join our banking and financial team in Singapore to provide hardware support for network, server, and storage devices.

Responsibilities:
- Daily routine check and reporting of hardware equipment status according to SOP
- Issue daily reports, handover documents, and monthly documentation.
- Install and removal of physical hardware with advice from technical team
- Inventory management of spare parts and status
- Coordination of suppliers and vendors, including site access management.

Requirements:
- Experienced in Data Center operations or relevant experience
- Knowledge in basic cabling
- Good documentation and communication skills

Additional Information:
- Location: Tai Seng / HarbourFront (2 headcount, either location but not both)
- Working hours: 5-day work week, weekend and public holiday inclusive
- Shift hours: (7 am - 4 pm), (12 pm - 9 pm), 8 + 1 hour break per shift","['Tape', 'Managed Services', 'Troubleshooting', 'Hardware', 'Outsourcing', 'Data Center', 'Inventory', 'Application Development', 'Electrical', 'Inventory Management', 'Scratch', 'Banking', 'Consulting', 'ITIL', 'Cabling']"
