SZ,sz_income
NATURE RESERVE,11050.0
NEE SOON,2530.0
NEWTON CIRCUS,1690.0
NICOLL,3990.0
NORTH COAST,14380.0
NORTH-EASTERN ISLANDS,0.0
NORTHLAND,34740.0
NORTHSHORE,14000.0
ONE NORTH,6990.0
ONE TREE HILL,11420.0
ORANGE GROVE,12260.0
OXLEY,8850.0
PANDAN,0.0
PANG SUA,0.0
PARK,0.0
PASIR PANJANG 1,20540.0
PASIR PANJANG 2,10120.0
PASIR RIS CENTRAL,61630.0
PASIR RIS DRIVE,70500.0
PASIR RIS PARK,23120.0
PASIR RIS WAFER FAB PARK,0.0
PASIR RIS WEST,57420.0
PATERSON,2100.0
PAYA LEBAR EAST,0.0
PAYA LEBAR NORTH,0.0
PAYA LEBAR WEST,0.0
PEARL'S HILL,3560.0
PEI CHUN,13720.0
PENG SIANG,44250.0
PENJURU CRESCENT,0.0
PEOPLE'S PARK,2030.0
PHILLIP,0.0
PIONEER SECTOR,0.0
PLAB,0.0
PLANTATION,0.0
PORT,0.0
POTONG PASIR,23480.0
PULAU PUNGGOL BARAT,0.0
PULAU PUNGGOL TIMOR,0.0
PULAU SELETAR,0.0
PUNGGOL CANAL,0.0
PUNGGOL FIELD,75630.0
PUNGGOL TOWN CENTRE,32610.0
QUEENSWAY,1060.0
RAFFLES PLACE,0.0
REDHILL,25430.0
RESERVOIR VIEW,0.0
RIDOUT,6030.0
RIVERVALE,87800.0
ROBERTSON QUAY,25080.0
ROCHOR CANAL,0.0
SAFTI,0.0
SAMULUN,0.0
SAUJANA,34740.0
SELEGIE,880.0
SELETAR,1040.0
SELETAR AEROSPACE PARK,0.0
SELETAR HILLS,36910.0
SEMAKAU,0.0
SEMBAWANG CENTRAL,48070.0
SEMBAWANG EAST,23500.0
SEMBAWANG HILLS,16140.0
SEMBAWANG NORTH,33430.0
SEMBAWANG SPRINGS,22710.0
SEMBAWANG STRAITS,5790.0
SENGKANG TOWN CENTRE,93510.0
SENGKANG WEST,0.0
SENJA,28650.0
SENNETT,30510.0
SENOKO NORTH,0.0
SENOKO SOUTH,0.0
SENOKO WEST,0.0
SENTOSA,15510.0
SERANGOON CENTRAL,46080.0
SERANGOON GARDEN,70450.0
SERANGOON NORTH,21380.0
SERANGOON NORTH IND ESTATE,0.0
SHANGRI-LA,20680.0
SHIPYARD,0.0
SIGLAP,25130.0
SIMEI,80270.0
SIMPANG NORTH,0.0
SIMPANG SOUTH,0.0
SINGAPORE GENERAL HOSPITAL,0.0
SINGAPORE POLYTECHNIC,0.0
SOMERSET,2310.0
SOUTHERN GROUP,0.0
SPRINGLEAF,10340.0
STRAITS VIEW,0.0
SUDONG,0.0
SUNGEI ROAD,2230.0
SUNSET WAY,12020.0
SWISS CLUB,15420.0
TAGORE,19180.0
TAI SENG,21300.0
TAMAN JURONG,60320.0
TAMPINES EAST,168300.0
TAMPINES NORTH,24280.0
TAMPINES WEST,123350.0
TANGLIN,3220.0
TANGLIN HALT,15530.0
TANJONG IRAU,0.0
TANJONG PAGAR,13860.0
TANJONG RHU,32800.0
TEBAN GARDENS,24330.0
TECK WHYE,30590.0
TELOK BLANGAH DRIVE,28690.0
TELOK BLANGAH RISE,17750.0
TELOK BLANGAH WAY,10270.0
TENGAH INDUSTRIAL ESTATE,0.0
TENGEH,0.0
THE WHARVES,0.0
TIONG BAHRU,24310.0
TIONG BAHRU STATION,25070.0
TOA PAYOH CENTRAL,42170.0
TOA PAYOH WEST,24190.0
TOH GUAN,20840.0
TOH TUCK,0.0
TOWNSVILLE,27880.0
TRAFALGAR,62670.0
TUAS BAY,0.0
TUAS NORTH,0.0
TUAS PROMENADE,0.0
TUAS VIEW,0.0
TUAS VIEW EXTENSION,0.0
TUKANG,0.0
TURF CLUB,1760.0
TYERSALL,15630.0
ULU PANDAN,32140.0
UPPER PAYA LEBAR,42930.0
UPPER THOMSON,62620.0
VICTORIA,3780.0
WATERWAY EAST,68690.0
WENYA,10940.0
WEST COAST,31890.0
WOODGROVE,52330.0
WOODLANDS EAST,126240.0
WOODLANDS REGIONAL CENTRE,0.0
WOODLANDS SOUTH,54320.0
WOODLANDS WEST,36570.0
WOODLEIGH,13380.0
XILIN,5790.0
YEW TEE,58820.0
YIO CHU KANG,0.0
YIO CHU KANG EAST,10680.0
YIO CHU KANG NORTH,0.0
YIO CHU KANG WEST,36520.0
YISHUN CENTRAL,8220.0
YISHUN EAST,81570.0
YISHUN SOUTH,60990.0
YISHUN WEST,75390.0
YUHUA EAST,37030.0
YUHUA WEST,29330.0
YUNNAN,88120.0
